client_id,client_name,industry,country,days_since_start,days_left,completion_pct,expected_pct,pace_delta,go_live_probability,status,current_stuck_step,account_manager,hours_since_activity,updated_at,start_date,total_steps,steps_completed,last_activity_date,contract_value_usd,is_active
C001,FinanceCorpX,Banking,India,61,0,42.00,100.00,-58.00,0,Stalled,API Key Setup,Rohan,48,2026-05-22T00:00:00.000Z,22-03-2026,12.00,5.00,2026-05-20,"120,000.00",TRUE
C002,RetailBrandY,E-commerce,UAE,51,9,75.00,85.00,-10.00,58,On Track,User Training,Priya,24,2026-05-22T00:00:00.000Z,2026-01-04,12.00,9.00,2026-05-21,"85,000.00",TRUE
C003,LogisticsCo,Supply Chain,USA,42,18,25.00,70.00,-45.00,0,Stalled,SSO Configuration,Rohan,288,2026-05-22T00:00:00.000Z,2026-10-04,12.00,3.00,2026-05-10,"200,000.00",TRUE
C004,TelecomGiant,Telecom,India,37,23,58.00,62.00,-3.00,56,At Risk,Workflow Mapping,Arjun,96,2026-05-22T00:00:00.000Z,15-04-2026,12.00,7.00,2026-05-18,"175,000.00",TRUE
C005,HealthNetPro,Healthcare,UK,32,28,83.00,53.00,30.00,100,On Track,Final UAT Sign-off,Priya,0,2026-05-22T00:00:00.000Z,20-04-2026,12.00,10.00,2026-05-22,"95,000.00",TRUE
C006,ManufactureX,Manufacturing,Germany,27,33,17.00,45.00,-28.00,11,Stalled,Data Source Connection,Arjun,408,2026-05-22T00:00:00.000Z,25-04-2026,12.00,2.00,2026-05-05,"150,000.00",TRUE
C007,InsurePlus,Insurance,India,21,39,50.00,35.00,15.00,88,On Track,Integration Testing,Rohan,24,2026-05-22T00:00:00.000Z,2026-01-05,12.00,6.00,2026-05-21,"110,000.00",TRUE
C008,EduTechNow,EdTech,Singapore,17,43,33.00,28.00,5.00,66,At Risk,CRM Connector Setup,Priya,120,2026-05-22T00:00:00.000Z,2026-05-05,12.00,4.00,2026-05-17,"60,000.00",TRUE
C009,NeoBank Arabia,Banking,Saudi Arabia,47,13,67.00,78.00,-12.00,56,On Track,Admin Configuration,Arjun,48,2026-05-22T00:00:00.000Z,2026-05-04,12.00,8.00,2026-05-20,"210,000.00",TRUE
C010,SwiftShip Inc,Logistics,Netherlands,44,16,33.00,73.00,-40.00,0,Stalled,API Key Setup,Rohan,264,2026-05-22T00:00:00.000Z,2026-08-04,12.00,4.00,2026-05-11,"135,000.00",TRUE
C011,MediCare Plus,Healthcare,Australia,40,20,75.00,67.00,8.00,80,On Track,Final UAT Sign-off,Priya,0,2026-05-22T00:00:00.000Z,2026-12-04,12.00,9.00,2026-05-22,"180,000.00",TRUE
C012,CloudRetail Co,E-commerce,Canada,34,26,42.00,57.00,-15.00,42,At Risk,Integration Testing,Arjun,96,2026-05-22T00:00:00.000Z,18-04-2026,12.00,5.00,2026-05-18,"90,000.00",TRUE
C013,GreenEnergy Ltd,Energy,Germany,30,30,17.00,50.00,-33.00,5,Stalled,SSO Configuration,Rohan,384,2026-05-22T00:00:00.000Z,22-04-2026,12.00,2.00,2026-05-06,"250,000.00",TRUE
C014,UrbanMobility,Transport,India,24,36,58.00,40.00,18.00,92,On Track,Workflow Mapping,Priya,24,2026-05-22T00:00:00.000Z,28-04-2026,12.00,7.00,2026-05-21,"140,000.00",TRUE
C015,SecureVault,Cybersecurity,Israel,20,40,25.00,33.00,-8.00,35,Stalled,CRM Connector Setup,Arjun,240,2026-05-22T00:00:00.000Z,2026-02-05,12.00,3.00,2026-05-12,"195,000.00",TRUE
C016,AgriTech Now,Agriculture,Brazil,16,44,25.00,27.00,-2.00,43,Stalled,Data Source Connection,Rohan,192,2026-05-22T00:00:00.000Z,2026-06-05,12.00,3.00,2026-05-14,"75,000.00",TRUE
C017,LegalEdge,Legal Tech,UK,14,46,33.00,23.00,10.00,82,On Track,First Workflow Build,Priya,72,2026-05-22T00:00:00.000Z,08-05-2026,12.00,4.00,2026-05-19,"115,000.00",TRUE
C018,PayFast Global,Fintech,Singapore,12,48,25.00,20.00,5.00,51,Stalled,API Key Setup,Arjun,168,2026-05-22T00:00:00.000Z,10-05-2026,12.00,3.00,2026-05-15,"160,000.00",TRUE
C019,EduSpark,EdTech,India,10,50,17.00,17.00,0.00,45,Stalled,Account Provisioning,Rohan,144,2026-05-22T00:00:00.000Z,12-05-2026,12.00,2.00,2026-05-16,"55,000.00",TRUE
C020,HealthBridge,Healthcare,USA,8,52,17.00,13.00,3.00,49,Stalled,SSO Configuration,Priya,336,2026-05-22T00:00:00.000Z,14-05-2026,12.00,2.00,2026-05-08,"130,000.00",TRUE
